Academic Year,LSS Number,LSS Name,School Number,School Name,Assessment,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Level 5 Pct,Create Date
2019,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 3,41,18,43.9,12.2,17.1,26.8,41.5,<= 5.0,20190821
2019,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 4,38,23,60.5,5.3,13.2,21.1,50,10.5,20190821
2019,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 5,40,29,72.5,<= 5.0,12.5,12.5,70,<= 5.0,20190821
2019,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 3,40,19,47.5,10,22.5,20,40,7.5,20190821
2019,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 4,38,19,50,7.9,23.7,18.4,50,<= 5.0,20190821
2019,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 5,40,8,20,<= 5.0,25,50,20,<= 5.0,20190821
2019,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 3,85,29,34.1,29.4,15.3,21.2,32.9,<= 5.0,20190821
2019,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 4,82,15,18.3,41.5,19.5,20.7,17.1,<= 5.0,20190821
2019,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 5,87,27,31,25.3,19.5,24.1,31,<= 5.0,20190821
2019,01,Allegany,0401,South Penn Elementary,Mathematics Grade 3,85,23,27.1,21.2,21.2,30.6,17.6,9.4,20190821
2019,01,Allegany,0401,South Penn Elementary,Mathematics Grade 4,82,16,19.5,25.6,32.9,22,18.3,<= 5.0,20190821
2019,01,Allegany,0401,South Penn Elementary,Mathematics Grade 5,87,21,24.1,23,29.9,23,20.7,<= 5.0,20190821
2019,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 3,43,10,23.3,30.2,30.2,16.3,23.3,<= 5.0,20190821
2019,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 4,38,21,55.3,15.8,10.5,18.4,44.7,10.5,20190821
2019,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 5,36,16,44.4,<= 5.0,19.4,33.3,36.1,8.3,20190821
2019,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 3,43,11,25.6,30.2,20.9,23.3,23.3,<= 5.0,20190821
2019,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 4,38,18,47.4,18.4,10.5,23.7,44.7,<= 5.0,20190821
2019,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 5,36,13,36.1,16.7,30.6,16.7,30.6,5.6,20190821
2019,01,Allegany,0405,Fort Hill High,English/Language Arts Grade 10,208,90,43.3,12.5,19.7,24.5,29.8,13.5,20190821
2019,01,Allegany,0405,Fort Hill High,Algebra 1,119,7,5.9,21,43.7,29.4,5.9,<= 5.0,20190821
2019,01,Allegany,0406,Washington Middle,English/Language Arts Grade 6,198,68,34.3,16.7,26.3,22.7,30.8,<= 5.0,20190821
2019,01,Allegany,0406,Washington Middle,English/Language Arts Grade 7,189,57,30.2,22.8,24.9,22.2,19.6,10.6,20190821
2019,01,Allegany,0406,Washington Middle,English/Language Arts Grade 8,169,64,37.9,20.1,17.2,24.9,30.2,7.7,20190821
2019,01,Allegany,0406,Washington Middle,Mathematics Grade 6,197,56,28.4,18.3,22.8,30.5,27.9,<= 5.0,20190821
2019,01,Allegany,0406,Washington Middle,Mathematics Grade 7,185,62,33.5,8.6,32.4,25.4,27.6,5.9,20190821
2019,01,Allegany,0406,Washington Middle,Mathematics Grade 8,86,*,<= 5.0,48.8,34.9,14,<= 5.0,<= 5.0,20190821
2019,01,Allegany,0406,Washington Middle,Algebra 1,82,*,>= 95.0,<= 5.0,<= 5.0,<= 5.0,86.6,9.8,20190821
2019,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 3,47,17,36.2,14.9,14.9,34,31.9,<= 5.0,20190821
2019,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 4,45,26,57.8,<= 5.0,20,20,42.2,15.6,20190821
2019,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 5,47,28,59.6,8.5,12.8,19.1,44.7,14.9,20190821
2019,01,Allegany,0502,Northeast Elementary,Mathematics Grade 3,47,15,31.9,8.5,23.4,36.2,27.7,<= 5.0,20190821
2019,01,Allegany,0502,Northeast Elementary,Mathematics Grade 4,45,28,62.2,<= 5.0,15.6,20,48.9,13.3,20190821
2019,01,Allegany,0502,Northeast Elementary,Mathematics Grade 5,47,23,48.9,<= 5.0,23.4,23.4,46.8,<= 5.0,20190821
2019,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 6,208,107,51.4,<= 5.0,13.9,29.8,38.9,12.5,20190821
2019,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 7,214,127,59.3,5.1,11.7,23.8,42.1,17.3,20190821
2019,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 8,161,74,46,11.8,17.4,24.8,37.9,8.1,20190821
2019,01,Allegany,0504,Braddock Middle,Mathematics Grade 6,189,73,38.6,11.1,20.6,29.6,37.6,<= 5.0,20190821
2019,01,Allegany,0504,Braddock Middle,Mathematics Grade 7,231,91,39.4,6.1,21.2,33.3,30.3,9.1,20190821
2019,01,Allegany,0504,Braddock Middle,Mathematics Grade 8,83,8,9.6,26.5,34.9,28.9,9.6,<= 5.0,20190821
2019,01,Allegany,0504,Braddock Middle,Algebra 1,80,73,91.3,<= 5.0,<= 5.0,8.8,65,26.3,20190821
2019,01,Allegany,0601,Center for Career & Technical Education,English/Language Arts Grade 10,43,*,<= 5.0,51.2,39.5,9.3,<= 5.0,<= 5.0,20190821
2019,01,Allegany,0601,Center for Career & Technical Education,Algebra 1,18,*,<= 5.0,22.2,61.1,16.7,<= 5.0,<= 5.0,20190821
2019,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 3,50,22,44,14,16,26,40,<= 5.0,20190821
2019,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 4,60,28,46.7,<= 5.0,18.3,30,28.3,18.3,20190821
2019,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 5,75,37,49.3,<= 5.0,20,26.7,44,5.3,20190821
2019,01,Allegany,0603,West Side Elementary,Mathematics Grade 3,50,22,44,12,16,28,38,6,20190821
2019,01,Allegany,0603,West Side Elementary,Mathematics Grade 4,60,28,46.7,6.7,18.3,28.3,36.7,10,20190821
2019,01,Allegany,0603,West Side Elementary,Mathematics Grade 5,75,23,30.7,9.3,22.7,37.3,26.7,<= 5.0,20190821
2019,01,Allegany,0606,Allegany High,English/Language Arts Grade 10,236,99,41.9,24.6,14.8,18.6,24.6,17.4,20190821
2019,01,Allegany,0606,Allegany High,Algebra 1,176,17,9.7,23.3,30.1,36.9,9.7,<= 5.0,20190821
