Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Ada504 Pct,Ada504 Cnt,FARMS Pct,FARMS Cnt,LEP Pct,LEP Cnt,Migrant Pct,Migrant Cnt,Spec Ed Pct,Spec Ed Cnt,Title1 Pct,Title1 Cnt,Homeless Pct,Homeless Cnt,Foster Care Pct,Foster Care Cnt,Military Connected Pct,Military Connected Cnt,Enrollment Cnt,Create Date
2019,01,Allegany,0301,Flintstone Elementary,Elementary,*,*,55.5,127,*,*,*,*,17.5,40,>= 95.0,*,*,*,*,*,*,*,229,20190903
2019,01,Allegany,0401,South Penn Elementary,Elementary,*,*,>= 95.0,*,*,*,*,*,23.1,137,>= 95.0,*,<= 5.0,*,*,*,*,*,592,20190903
2019,01,Allegany,0402,John Humbird Elementary,Elementary,*,*,>= 95.0,*,*,*,*,*,19.0,51,>= 95.0,*,*,*,*,*,*,*,268,20190903
2019,01,Allegany,0405,Fort Hill High,High,<= 5.0,*,49.5,347,*,*,*,*,15.1,106,*,*,*,*,*,*,*,*,701,20190903
2019,01,Allegany,0406,Washington Middle,Middle,<= 5.0,*,59.3,348,*,*,*,*,16.0,94,*,*,*,*,*,*,*,*,587,20190903
2019,01,Allegany,0502,Northeast Elementary,Elementary,*,*,58.3,186,*,*,*,*,14.1,45,>= 95.0,*,*,*,*,*,*,*,319,20190903
2019,01,Allegany,0504,Braddock Middle,Middle,<= 5.0,*,50.6,301,*,*,*,*,10.6,63,*,*,*,*,*,*,*,*,595,20190903
2019,01,Allegany,0601,Center for Career & Technical Education,High,*,*,53.8,113,*,*,*,*,19.5,41,*,*,*,*,*,*,*,*,210,20190903
2019,01,Allegany,0603,West Side Elementary,Elementary,*,*,61.7,245,*,*,*,*,13.6,54,>= 95.0,*,*,*,*,*,*,*,397,20190903
2019,01,Allegany,0606,Allegany High,High,<= 5.0,*,41.4,298,*,*,*,*,9.2,66,*,*,*,*,*,*,*,*,719,20190903
2019,01,Allegany,0701,Cresaptown Elementary,Elementary,*,*,55.5,183,*,*,*,*,20.6,68,*,*,*,*,*,*,*,*,330,20190903
2019,01,Allegany,0702,Bel Air Elementary,Elementary,*,*,49.3,110,*,*,*,*,20.2,45,*,*,*,*,*,*,*,*,223,20190903
2019,01,Allegany,0801,Westernport Elementary,Elementary,*,*,>= 95.0,*,*,*,*,*,17.6,47,>= 95.0,*,*,*,*,*,*,*,267,20190903
2019,01,Allegany,0802,Westmar Middle,Middle,*,*,66.1,181,*,*,*,*,15.7,43,*,*,*,*,*,*,*,*,274,20190903
2019,01,Allegany,1001,George's Creek Elementary,Elementary,*,*,>= 95.0,*,*,*,*,*,16.8,52,>= 95.0,*,*,*,*,*,*,*,309,20190903
2019,01,Allegany,1101,Frost Elementary,Elementary,*,*,32.3,70,*,*,*,*,12.0,26,*,*,*,*,*,*,*,*,217,20190903
2019,01,Allegany,1301,Mount Savage Middle,Middle,*,*,47.3,187,*,*,*,*,12.9,51,*,*,*,*,*,*,*,*,395,20190903
2019,01,Allegany,1302,Mt. Savage Elementary,Elementary,*,*,60.6,114,*,*,*,*,17.0,32,>= 95.0,*,*,*,*,*,*,*,188,20190903
2019,01,Allegany,2404,Mountain Ridge High School,High,<= 5.0,*,41.4,324,*,*,*,*,10.5,82,*,*,*,*,*,*,*,*,782,20190903
